Nom,latitude,longitude,code_postal
NICE,43.712363989,7.237937874,06200
PEGOMAS,43.587054102,6.921780584,06580
PEILLE,43.806648629,7.411504042,06440
PEYMEINADE,43.630626198,6.88147969,06530
ROUBION,44.108215666,7.02806965,06420
ROURE,44.1191026,7.066728106,06420
STE AGNES,43.804704332,7.46159515,06500
ST ETIENNE DE TINEE,44.249071077,6.924614376,06660
ST JEANNET,43.75904128,7.140602155,06640
ST MARTIN D ENTRAUNES,44.149352889,6.746033616,06470
ST MARTIN DU VAR,43.816588633,7.199542248,06670
ST VALLIER DE THIEY,43.6968824,6.850884925,06460
SIGALE,43.875573985,6.966258326,06910
LE TIGNET,43.624075656,6.852550628,06530
UTELLE,43.927546341,7.238821475,06450
TENDE,44.099792877,7.540536917,06430
ALBOUSSIERE,44.939786813,4.734555947,07440
VALLEES D ANTRAIGUES ASPERJOC,44.722267881,4.354201357,07530
ARCENS,44.900285261,4.31760549,07310
ASTET,44.684743774,4.026056625,07330
BAIX,44.706668959,4.750768158,07210
LE BEAGE,44.855321386,4.130108786,07630
BEAUCHASTEL,44.829799932,4.79764727,07800
BEAULIEU,44.354592017,4.250480914,07460
BEAUMONT,44.542472776,4.171723293,07110
BOZAS,45.058572253,4.647787474,07410
BOUCIEU LE ROI,45.028882408,4.687946534,07270
BOURG ST ANDEOL,44.382956615,4.613976099,07700
BROSSAINC,45.327676832,4.678903251,07340
BURZET,44.748040175,4.233897461,07450
CELLIER DU LUC,44.673712424,3.901435464,07590
CHAMBONAS,44.426765988,4.129649242,07140
CHARNAS,45.342642826,4.732460904,07340
LE CHEYLARD,44.907716249,4.421263271,07160
CHIROLS,44.688632066,4.294480233,07380
DAVEZIEUX,45.255014271,4.70228932,07430
EMPURANY,45.026093497,4.597205522,07270
GLUIRAS,44.845615952,4.525748844,07190
ISSAMOULENC,44.787983252,4.4564304,07190
JAUNAC,44.920391584,4.39270158,07160
JOANNAS,44.573016266,4.246264191,07110
LABASTIDE DE VIRAC,44.353668841,4.419754926,07150
